name,class,drug_name
retinal thrombosis,Moderate,Kyleena
thyroid function tests,Moderate,Kyleena
hyperlipidemia,Moderate,Kyleena
weight gain,Minor,Kyleena
hypotension,Major,Kynmobi
psychosis,Major,Kynmobi
ziprasidone,Major,Kytril
zolmitriptan,Major,Kytril
bradyarrhythmia/AV block,Major,Labetalol
cardiogenic shock/hypotension,Major,Labetalol
CHF,Major,Labetalol
diabetes,Major,Labetalol
hemodialysis,Major,Labetalol
hypersensitivity,Major,Labetalol
ischemic heart disease,Major,Labetalol
PVD,Major,Labetalol
liver disease,Major,Labetalol
asthma/COPD,Major,Labetalol
cerebrovascular insufficiency,Moderate,Labetalol
glaucoma,Moderate,Labetalol
hyperlipidemia,Moderate,Labetalol
hyperthyroidism,Moderate,Labetalol
hyperthyroidism PKs,Moderate,Labetalol
myasthenia gravis,Moderate,Labetalol
pheochromocytoma,Moderate,Labetalol
psoriasis,Moderate,Labetalol
tachycardia,Moderate,Labetalol
Prinzmetal's variant angina,Moderate,Labetalol
depression,Major,Lacosamide
CVD,Moderate,Lacosamide
hepatic impairment,Moderate,Lacosamide
renal impairment,Moderate,Lacosamide
depression,Major,Lamictal
rash,Major,Lamictal
suicidal tendency,Moderate,Lamictal
blood dyscrasias,Moderate,Lamictal
heart disease,Moderate,Lamictal
meningitis,Moderate,Lamictal
renal/liver disease,Moderate,Lamictal
PKU,Moderate,Lamictal
C. diff,Major,Lansoprazole
liver disease,Moderate,Lansoprazole
bone fractures,Moderate,Lansoprazole
hypomagnesemia,Moderate,Lansoprazole
renal/liver disease,Moderate,Lantus
hypokalemia,Moderate,Lantus
hypoglycemia,Moderate,Lantus
anuria,Major,Lasix
cirrhosis,Major,Lasix
electrolyte losses,Major,Lasix
ototoxicity,Major,Lasix
renal dysfunction,Major,Lasix
lupus erythematosus,Moderate,Lasix
diabetes,Moderate,Lasix
hyperuricemia,Moderate,Lasix
urinary retention,Moderate,Lasix
immunosuppression,Major,Leflunomide
liver disease,Major,Leflunomide
peripheral neuropathy,Major,Leflunomide
pulmonary toxicity,Major,Leflunomide
renal dysfunction,Major,Leflunomide
tuberculosis,Major,Leflunomide
hypertension,Moderate,Leflunomide
arterial thromboembolism,Moderate,Lenvatinib
bleeding,Moderate,Lenvatinib
cardiac dysfunction,Moderate,Lenvatinib
diarrhea,Moderate,Lenvatinib
GI perforation,Moderate,Lenvatinib
hepatic impairment,Moderate,Lenvatinib
hypertension,Moderate,Lenvatinib
hypocalcemia,Moderate,Lenvatinib
hypothyroidism,Moderate,Lenvatinib
proteinuria,Moderate,Lenvatinib
QT prolongation,Moderate,Lenvatinib
renal impairment,Moderate,Lenvatinib
RPL syndrome,Moderate,Lenvatinib
lung toxicity,Moderate,Lenvatinib
arterial thromboembolism,Moderate,Lenvima
bleeding,Moderate,Lenvima
cardiac dysfunction,Moderate,Lenvima
diarrhea,Moderate,Lenvima
GI perforation,Moderate,Lenvima
hepatic impairment,Moderate,Lenvima
hypertension,Moderate,Lenvima
hypocalcemia,Moderate,Lenvima
hypothyroidism,Moderate,Lenvima
proteinuria,Moderate,Lenvima
QT prolongation,Moderate,Lenvima
renal impairment,Moderate,Lenvima
RPL syndrome,Moderate,Lenvima
lung toxicity,Moderate,Lenvima
liver disease,Major,Letrozole
cholesterol,Moderate,Letrozole
osteoporosis,Moderate,Letrozole
infections,Major,Leukeran
myelosuppression,Major,Leukeran
hepatic impairment,Moderate,Leukeran
pneumonitis/fibrosis,Moderate,Leukeran
seizures,Moderate,Leukeran
colitis,Major,Levaquin
CNS disorders,Major,Levaquin
myasthenia gravis,Major,Levaquin
peripheral neuropathy,Major,Levaquin
QT interval prolongation,Major,Levaquin
tendonitis,Major,Levaquin
crystalluria,Moderate,Levaquin
diabetes,Moderate,Levaquin
hemodialysis,Moderate,Levaquin
renal dysfunction,Moderate,Levaquin
renal/liver disease,Moderate,Levemir
hypokalemia,Moderate,Levemir
hypoglycemia,Moderate,Levemir
suicidal tendency,Moderate,Levetiracetam
hemodialysis,Moderate,Levetiracetam
renal dysfunction,Moderate,Levetiracetam
hematologic abnormalities,Minor,Levetiracetam
renal impairment,Major,Levocetirizine
urinary retention,Moderate,Levocetirizine
cardiac disease,Major,Levodopa
hypotension,Major,Levodopa
neuroleptic malignant syndrome,Major,Levodopa
psychoses/depression,Major,Levodopa
psychosis,Major,Levodopa
glaucoma,Major,Levodopa
liver/renal,Major,Levodopa
melanoma,Major,Levodopa
reactive airway disease,Major,Levodopa
GI bleeding,Moderate,Levodopa
colitis,Major,Levofloxacin
CNS disorders,Major,Levofloxacin
myasthenia gravis,Major,Levofloxacin
peripheral neuropathy,Major,Levofloxacin
QT interval prolongation,Major,Levofloxacin
tendonitis,Major,Levofloxacin
crystalluria,Moderate,Levofloxacin
diabetes,Moderate,Levofloxacin
hemodialysis,Moderate,Levofloxacin
renal dysfunction,Moderate,Levofloxacin
abnormal genital bleeding,Major,Levonorgestrel
hepatic neoplasms,Major,Levonorgestrel
intracranial HTN,Major,Levonorgestrel
thromboembolism,Major,Levonorgestrel
breast malignancy,Major,Levonorgestrel
liver disease,Major,Levonorgestrel
depression,Moderate,Levonorgestrel
fluid retention,Moderate,Levonorgestrel
glucose intolerance,Moderate,Levonorgestrel
retinal thrombosis,Moderate,Levonorgestrel
thyroid function tests,Moderate,Levonorgestrel
hyperlipidemia,Moderate,Levonorgestrel
weight gain,Minor,Levonorgestrel
diabetes,Moderate,Lexette
diaper rash,Moderate,Lexette
hyperadrenocorticism,Moderate,Lexette
infections,Moderate,Lexette
ocular toxicities,Moderate,Lexette
liver dysfunction,Moderate,Lialda
renal dysfunction,Moderate,Lialda
diabetes,Moderate,Lidex
diaper rash,Moderate,Lidex
hyperadrenocorticism,Moderate,Lidex
infections,Moderate,Lidex
ocular toxicities,Moderate,Lidex
abnormal genital bleeding,Major,Liletta
hepatic neoplasms,Major,Liletta
intracranial HTN,Major,Liletta
thromboembolism,Major,Liletta
breast malignancy,Major,Liletta
liver disease,Major,Liletta
depression,Moderate,Liletta
fluid retention,Moderate,Liletta
glucose intolerance,Moderate,Liletta
retinal thrombosis,Moderate,Liletta
thyroid function tests,Moderate,Liletta
hyperlipidemia,Moderate,Liletta
weight gain,Minor,Liletta
gastrointestinal obstruction,Major,Linzess
diarrhea,Moderate,Linzess
liver disease,Major,Lipitor
rhabdomyolysis,Major,Lipitor
cognitive impairment,Moderate,Lipitor
diabetes,Moderate,Lipitor
renal disease,Moderate,Lipitor
angioedema,Major,Lisinopril
bone marrow suppression,Major,Lisinopril
CHF,Major,Lisinopril
hemodialysis,Major,Lisinopril
hyperkalemia,Major,Lisinopril
hypotension,Major,Lisinopril
liver disease,Moderate,Lisinopril
renal dysfunction,Moderate,Lisinopril
dementia,Major,Lithium
cardiac disease,Major,Lithium
dehydration,Major,Lithium
diarrhea/hyperhidrosis,Major,Lithium
hypothyroidism,Major,Lithium
renal dysfunction,Major,Lithium
sodium depletion,Major,Lithium
previous neuroleptic malignant syndrome (NMS),Major,Lithium
seizure disorders,Major,Lithium
fever,Moderate,Lithium
hyperprolactinemia/breast cancer,Moderate,Lithium
neutropenia,Moderate,Lithium
smoking,Major,Loestrin 24 Fe 
abnormal genital bleeding,Major,Loestrin 24 Fe 
abnormal vaginal bleeding,Major,Loestrin 24 Fe 
carcinomas (estrogenic),Major,Loestrin 24 Fe 
hypercalcemia in breast cancer,Major,Loestrin 24 Fe 
hypertension,Major,Loestrin 24 Fe 
thromboembolism/cardiovascular,Major,Loestrin 24 Fe 
hepatic neoplasms,Major,Loestrin 24 Fe 
breast malignancy,Major,Loestrin 24 Fe 
liver disease,Major,Loestrin 24 Fe 
thromboembolism,Major,Loestrin 24 Fe 
angioedema,Moderate,Loestrin 24 Fe 
gallbladder disease,Moderate,Loestrin 24 Fe 
hypercalcemia,Moderate,Loestrin 24 Fe 
hyperlipidemia,Moderate,Loestrin 24 Fe 
liver disease,Moderate,Loestrin 24 Fe 
melasma,Moderate,Loestrin 24 Fe 
depression,Moderate,Loestrin 24 Fe 
fluid retention,Moderate,Loestrin 24 Fe 
glucose intolerance,Moderate,Loestrin 24 Fe 
retinal thrombosis,Moderate,Loestrin 24 Fe 
thyroid function tests,Moderate,Loestrin 24 Fe 
hyperlipidemia,Moderate,Loestrin 24 Fe 
weight gain,Minor,Loestrin 24 Fe 
hypotension,Major,Lofexidine
alcoholism,Moderate,Lofexidine
hepatic impairment,Moderate,Lofexidine
QT prolongation,Moderate,Lofexidine
renal impairment,Moderate,Lofexidine
constipation/GI obstruction,Major,Lokelma
edema,Moderate,Lokelma
autonomic neuropathy,Major,Lomotil
GI obstruction,Major,Lomotil
glaucoma,Major,Lomotil
obstructive uropathy,Major,Lomotil
reactive airway diseases,Major,Lomotil
myasthenia gravis,Major,Lomotil
infectious diarrhea,Major,Lomotil
liver/renal,Major,Lomotil
cardiac disease,Moderate,Lomotil
tachycardia,Moderate,Lomotil
coronary artery disease,Moderate,Lomotil
gastric ulcer,Moderate,Lomotil
gastroesophageal reflux,Moderate,Lomotil
ulcerative colitis,Moderate,Lomotil
fluid/electrolytes,Moderate,Lomotil
hepatic/renal dysfunction,Moderate,Lomotil
toxic megacolon,Moderate,Lomotil
liver disease,Moderate,Lomotil
renal failure,Moderate,Lomotil
dehydration,Moderate,Lomotil
Down's syndrome,Moderate,Lomotil
hypertension,Minor,Lomotil
hyperthyroidism,Minor,Lomotil
diarrhea,Minor,Lomotil
fever,Minor,Lomotil
infectious diarrhea,Major,Loperamide
fluid/electrolytes,Moderate,Loperamide
hepatic/renal dysfunction,Moderate,Loperamide
toxic megacolon,Moderate,Loperamide
bradyarrhythmia/AV block,Major,Lopressor
cardiogenic shock/hypotension,Major,Lopressor
CHF,Major,Lopressor
diabetes,Major,Lopressor
hemodialysis,Major,Lopressor
hypersensitivity,Major,Lopressor
ischemic heart disease,Major,Lopressor
PVD,Major,Lopressor
liver disease,Major,Lopressor
cerebrovascular insufficiency,Moderate,Lopressor
glaucoma,Moderate,Lopressor
hyperlipidemia,Moderate,Lopressor
hyperthyroidism,Moderate,Lopressor
hyperthyroidism PKs,Moderate,Lopressor
myasthenia gravis,Moderate,Lopressor
pheochromocytoma,Moderate,Lopressor
psoriasis,Moderate,Lopressor
tachycardia,Moderate,Lopressor
asthma/COPD,Moderate,Lopressor
renal/liver disease,Moderate,Loratadine
acute alcohol intoxication,Major,Lorazepam
closed-angle glaucoma,Major,Lorazepam
drug dependence,Major,Lorazepam
renal/liver disease,Major,Lorazepam
respiratory depression,Major,Lorazepam
seizures,Major,Lorazepam
prolonged hypotension,Major,Lorazepam
prematurity,Major,Lorazepam
depression,Moderate,Lorazepam
obesity,Moderate,Lorazepam
paradoxical reactions,Moderate,Lorazepam
upper GI disease,Moderate,Lorazepam
atrioventricular block,Moderate,Lorlatinib
CNS effects,Moderate,Lorlatinib
hepatotoxicity/hepatic impairment,Moderate,Lorlatinib
hyperglycemia,Moderate,Lorlatinib
hyperlipidemia,Moderate,Lorlatinib
hypertension,Moderate,Lorlatinib
interstitial lung disease,Moderate,Lorlatinib
severe renal impairment,Moderate,Lorlatinib
diabetes,Major,Losartan
angioedema,Major,Losartan
hypotension,Major,Losartan
CHF,Moderate,Losartan
hyperkalemia,Moderate,Losartan
renal artery stenosis,Moderate,Losartan
renal impairment,Moderate,Losartan
renal/liver disease,Moderate,Losartan
liver disease,Major,Lovastatin
rhabdomyolysis,Major,Lovastatin
renal dysfunction,Major,Lovastatin
cognitive impairment,Moderate,Lovastatin
diabetes,Moderate,Lovastatin
renal disease,Moderate,Lovastatin
hemophilia,Major,Lovenox
liver disease,Major,Lovenox
peptic ulcer disease,Major,Lovenox
retinopathy,Major,Lovenox
subacute bacterial endocarditis,Major,Lovenox
active bleeding,Major,Lovenox
hypertension,Major,Lovenox
renal dysfunction,Major,Lovenox
thrombocytopenia,Major,Lovenox
prematurity,Major,Lovenox
hypertension,Moderate,Lovenox
kidney disease,Moderate,Lovenox
renal/liver disease,Moderate,Lumigan
macular edema,Moderate,Lumigan
uveitis,Moderate,Lumigan
depression,Major,Lunesta
glaucoma,Moderate,Lunesta
liver disease,Moderate,Lunesta
diabetes,Moderate,Luxiq
diaper rash,Moderate,Luxiq
hyperadrenocorticism,Moderate,Luxiq
infections,Moderate,Luxiq
ocular toxicities,Moderate,Luxiq
drug dependence,Major,Lyrica
suicidal tendency,Moderate,Lyrica
angioedema,Moderate,Lyrica
creatine kinase elevations,Moderate,Lyrica
peripheral edema,Moderate,Lyrica
PR interval prolongation,Moderate,Lyrica
renal/liver disease,Moderate,Lyumjev
hypokalemia,Moderate,Lyumjev
hypoglycemia,Moderate,Lyumjev
colitis,Major,Macrobid
G-6-PD deficiency,Major,Macrobid
hepatotoxicity,Major,Macrobid
renal dysfunction,Major,Macrobid
peripheral neuropathy,Moderate,Macrobid
respiratory,Moderate,Macrobid
inflammatory bowel disease,Major,Magnesium citrate
intestinal obstruction disorders,Major,Magnesium citrate
renal dysfunction,Major,Magnesium citrate
renal dysfunction,Major,Magnesium oxide
depression,Major,Magnesium sulfate
inflammatory bowel disease,Major,Magnesium sulfate
intestinal obstruction disorders,Major,Magnesium sulfate
cardiac disease,Major,Magnesium sulfate
pregnancy,Major,Magnesium sulfate
renal dysfunction,Major,Magnesium sulfate
myasthenia gravis,Major,Magnesium sulfate
arrhythmias,Moderate,Magnesium sulfate
infections,Major,Mavenclad
myelosuppression,Major,Mavenclad
neurological disorders,Major,Mavenclad
hepatic dysfunction,Moderate,Mavenclad
renal dysfunction,Moderate,Mavenclad
immunosuppression,Major,Mavyret
liver dysfunction,Major,Mavyret
cardiovascular disease,Major,Mayzent
encephalopathy,Moderate,Mayzent
MS,Moderate,Mayzent
infections,Moderate,Mayzent
liver disease,Moderate,Mayzent
macular edema,Moderate,Mayzent
vaccinations,Moderate,Mayzent
GI perforation,Major,Medrol
infections,Major,Medrol
prematurity,Major,Medrol
PUD,Major,Medrol
vaccination,Major,Medrol
(+) tuberculin test,Moderate,Medrol
cirrhosis,Moderate,Medrol
depression/psychoses,Moderate,Medrol
diabetes,Moderate,Medrol
electrolyte imbalance,Moderate,Medrol
fluid retention,Moderate,Medrol
hyperadrenocorticalism,Moderate,Medrol
hyperlipidemia,Moderate,Medrol
hypothyroidism,Moderate,Medrol
liver disease,Moderate,Medrol
MI,Moderate,Medrol
myasthenia gravis,Moderate,Medrol
myopathy,Moderate,Medrol
ocular herpes simplex,Moderate,Medrol
ocular toxicities,Moderate,Medrol
osteoporosis,Moderate,Medrol
scleroderma,Moderate,Medrol
strongyloidiasis,Moderate,Medrol
thromboembolism,Moderate,Medrol
depression,Major,Melatonin
glaucoma,Moderate,Melatonin
liver disease,Moderate,Melatonin
asthma,Major,Meloxicam
fluid retention,Major,Meloxicam
GI toxicity,Major,Meloxicam
rash,Major,Meloxicam
renal toxicities,Major,Meloxicam
thrombosis,Major,Meloxicam
anemia,Moderate,Meloxicam
heart failure,Moderate,Meloxicam
hepatotoxicity,Moderate,Meloxicam
hyperkalemia,Moderate,Meloxicam
hypertension,Moderate,Meloxicam
platelet aggregation inhibition,Moderate,Meloxicam
hepatic impairment,Moderate,Memantine
renal impairment,Moderate,Memantine
colitis,Major,Meropenem
renal dysfunction,Major,Meropenem
CNS disorders,Moderate,Meropenem
hemodialysis,Moderate,Meropenem
sodium,Moderate,Meropenem
liver dysfunction,Moderate,Mesalamine
renal dysfunction,Moderate,Mesalamine
intestinal obstruction,Major,Metamucil
inflammatory bowel disease,Major,Metamucil
intestinal obstruction disorders,Major,Metamucil
renal dysfunction,Moderate,Metamucil
lactic acidosis,Major,Metformin
cardiovascular risk,Major,Metformin
hypoglycemia,Moderate,Metformin
B12 deficiency,Moderate,Metformin
impaired GI motility,Major,Methadone
infectious diarrhea,Major,Methadone
liver disease,Major,Methadone
prematurity,Major,Methadone
acute alcohol intoxication,Major,Methadone
drug dependence,Major,Methadone
gastrointestinal obstruction,Major,Methadone
hypotension,Major,Methadone
intracranial pressure,Major,Methadone
respiratory depression,Major,Methadone
adrenal insufficiency,Moderate,Methadone
biliary spasm,Moderate,Methadone
hypothyroidism,Moderate,Methadone
renal dysfunction,Moderate,Methadone
seizure disorders,Moderate,Methadone
urinary retention,Moderate,Methadone
arrhythmias,Moderate,Methadone
blood dyscrasias,Major,Methimazole
hepatotoxicity,Major,Methimazole
hypoprothombinemia,Major,Methimazole
renal dysfunction,Major,Methocarbamol
seizures,Moderate,Methocarbamol
infections,Major,Methotrexate
liver disease,Major,Methotrexate
myelosuppression,Major,Methotrexate
renal dysfunction,Major,Methotrexate
stomatitis,Major,Methotrexate
GI perforation,Major,Methylprednisolone
infections,Major,Methylprednisolone
prematurity,Major,Methylprednisolone
PUD,Major,Methylprednisolone
vaccination,Major,Methylprednisolone
(+) tuberculin test,Moderate,Methylprednisolone
cirrhosis,Moderate,Methylprednisolone
depression/psychoses,Moderate,Methylprednisolone
diabetes,Moderate,Methylprednisolone
electrolyte imbalance,Moderate,Methylprednisolone
fluid retention,Moderate,Methylprednisolone
hyperadrenocorticalism,Moderate,Methylprednisolone
hyperlipidemia,Moderate,Methylprednisolone
hypothyroidism,Moderate,Methylprednisolone
liver disease,Moderate,Methylprednisolone
MI,Moderate,Methylprednisolone
myasthenia gravis,Moderate,Methylprednisolone
myopathy,Moderate,Methylprednisolone
ocular herpes simplex,Moderate,Methylprednisolone
ocular toxicities,Moderate,Methylprednisolone
osteoporosis,Moderate,Methylprednisolone
scleroderma,Moderate,Methylprednisolone
strongyloidiasis,Moderate,Methylprednisolone
thromboembolism,Moderate,Methylprednisolone
depression,Major,Metoclopramide
gastrointestinal disorders,Major,Metoclopramide
NMS,Major,Metoclopramide
pheochromocytoma,Major,Metoclopramide
seizures,Major,Metoclopramide
tardive dyskinesia,Major,Metoclopramide
fluid retention,Moderate,Metoclopramide
hypertension,Moderate,Metoclopramide
parkinsonism,Moderate,Metoclopramide
renal dysfunction,Moderate,Metoclopramide
anuria,Major,Metolazone
electrolyte losses,Major,Metolazone
liver disease,Major,Metolazone
lupus erythematosus,Major,Metolazone
renal function disorders,Major,Metolazone
asthma,Moderate,Metolazone
diabetes,Moderate,Metolazone
hyperlipidemia,Moderate,Metolazone
hyperparathyroidism,Moderate,Metolazone
hyperuricemia,Moderate,Metolazone
thyroid function tests,Moderate,Metolazone
colitis,Major,Metronidazole
blood dyscrasias,Major,Metronidazole
neurologic toxicity,Major,Metronidazole
dialysis,Moderate,Metronidazole
liver disease,Moderate,Metronidazole
sodium,Moderate,Metronidazole
alcoholism,Moderate,Metronidazole
acute alcohol intoxication,Major,Midazolam
closed-angle glaucoma,Major,Midazolam
respiratory depression,Major,Midazolam
seizures,Major,Midazolam
prolonged hypotension,Major,Midazolam
prematurity,Major,Midazolam
CNS depression/electrolyte disturbances,Major,Midazolam
congestive heart failure,Major,Midazolam
renal/liver disease,Major,Midazolam
depression,Moderate,Midazolam
obesity,Moderate,Midazolam
paradoxical reactions,Moderate,Midazolam
hypertension/diabetes,Major,Midodrine
hypertensive effects,Major,Midodrine
renal dysfunction,Major,Midodrine
hepatic dysfunction,Moderate,Midodrine
fluid retention/congestive heart failure,Major,Minoxidil
ischemic heart disease,Major,Minoxidil
pheochromocytoma,Major,Minoxidil
renal failure/dialysis,Moderate,Minoxidil
inflammatory bowel disease,Major,MiraLAX
intestinal obstruction disorders,Major,MiraLAX
GI obstruction/perforation,Major,MiraLAX
renal/liver disease,Major,Mirtazapine
pheochromocytoma,Major,Mirtazapine
bipolar screening,Major,Mirtazapine
depression,Major,Mirtazapine
hypotension,Major,Mirtazapine
neutropenia,Major,Mirtazapine
mania,Moderate,Mirtazapine
ALT elevations,Moderate,Mirtazapine
hyperlipidemia,Moderate,Mirtazapine
hyponatremia,Moderate,Mirtazapine
mania/hypomania,Moderate,Mirtazapine
seizures,Moderate,Mirtazapine
glaucoma,Moderate,Mirtazapine
asthma,Major,Mobic
fluid retention,Major,Mobic
GI toxicity,Major,Mobic
rash,Major,Mobic
renal toxicities,Major,Mobic
thrombosis,Major,Mobic
anemia,Moderate,Mobic
heart failure,Moderate,Mobic
hepatotoxicity,Moderate,Mobic
hyperkalemia,Moderate,Mobic
hypertension,Moderate,Mobic
platelet aggregation inhibition,Moderate,Mobic
cardiac disease,Major,Modafinil
hypertension,Major,Modafinil
liver disease,Major,Modafinil
psychiatric disorders,Major,Modafinil
bipolar disorders,Moderate,Modafinil
psychotic disorders,Moderate,Modafinil
renal dysfunction,Moderate,Modafinil
seizure disorders,Moderate,Modafinil
cardiovascular,Moderate,Modafinil
neuropsychiatric disorders,Major,Montelukast
liver disorder,Moderate,Montelukast
PKU,Moderate,Montelukast
pulmonary disorders,Moderate,Montelukast
impaired GI motility,Major,Morphine
infectious diarrhea,Major,Morphine
liver disease,Major,Morphine
prematurity,Major,Morphine
acute alcohol intoxication,Major,Morphine
drug dependence,Major,Morphine
gastrointestinal obstruction,Major,Morphine
hypotension,Major,Morphine
intracranial pressure,Major,Morphine
respiratory depression,Major,Morphine
adrenal insufficiency,Moderate,Morphine
biliary spasm,Moderate,Morphine
hypothyroidism,Moderate,Morphine
renal dysfunction,Moderate,Morphine
seizure disorders,Moderate,Morphine
urinary retention,Moderate,Morphine
arrhythmias,Moderate,Morphine
asthma,Major,Motrin
fluid retention,Major,Motrin
GI toxicity,Major,Motrin
rash,Major,Motrin
renal toxicities,Major,Motrin
thrombosis,Major,Motrin
PKU,Moderate,Motrin
anemia,Moderate,Motrin
heart failure,Moderate,Motrin
hepatotoxicity,Moderate,Motrin
hyperkalemia,Moderate,Motrin
hypertension,Moderate,Motrin
platelet aggregation inhibition,Moderate,Motrin
thyroid cancer,Major,Mounjaro
acute kidney injury,Moderate,Mounjaro
pancreatitis,Moderate,Mounjaro
retinopathy,Moderate,Mounjaro
severe GI disease,Moderate,Mounjaro
renal dysfunction,Major,Mycapssa
gallbladder/biliary dysfunction,Moderate,Mycapssa
glucose intolerance,Moderate,Mycapssa
heart disease,Moderate,Mycapssa
hepatic impairment,Moderate,Mycapssa
thyroid dysfunction,Moderate,Mycapssa
vitamin B12 deficiency,Moderate,Mycapssa
abnormal genital bleeding,Major,Myfembree
abnormal vaginal bleeding,Major,Myfembree
carcinomas (estrogenic),Major,Myfembree
hypercalcemia in breast cancer,Major,Myfembree
hypertension,Major,Myfembree
thromboembolism/cardiovascular,Major,Myfembree
hepatic neoplasms,Major,Myfembree
breast malignancy,Major,Myfembree
liver disease,Major,Myfembree
thromboembolism,Major,Myfembree
osteoporosis,Major,Myfembree
angioedema,Moderate,Myfembree
gallbladder disease,Moderate,Myfembree
hypercalcemia,Moderate,Myfembree
hyperlipidemia,Moderate,Myfembree
liver disease,Moderate,Myfembree
melasma,Moderate,Myfembree
depression,Moderate,Myfembree
fluid retention,Moderate,Myfembree
glucose intolerance,Moderate,Myfembree
retinal thrombosis,Moderate,Myfembree
thyroid function tests,Moderate,Myfembree
QT prolongation,Moderate,Myfembree
hyperlipidemia,Moderate,Myfembree
weight gain,Minor,Myfembree
hepatic impairment/toxicity,Major,Mylotarg
cytopenias,Moderate,Mylotarg
QT prolongation,Moderate,Mylotarg
renal impairment,Moderate,Mylotarg
urinary retention,Moderate,Myrbetriq
hypertension,Moderate,Myrbetriq
liver disease,Moderate,Myrbetriq
renal dysfunction,Moderate,Myrbetriq
asthma,Major,Nabumetone
fluid retention,Major,Nabumetone
GI toxicity,Major,Nabumetone
rash,Major,Nabumetone
renal toxicities,Major,Nabumetone
thrombosis,Major,Nabumetone
liver disease,Moderate,Nabumetone
anemia,Moderate,Nabumetone
heart failure,Moderate,Nabumetone
hepatotoxicity,Moderate,Nabumetone
hyperkalemia,Moderate,Nabumetone
hypertension,Moderate,Nabumetone
platelet aggregation inhibition,Moderate,Nabumetone
hepatic encephalopathy,Major,NAC
asthma,Moderate,NAC
fluid overload,Moderate,NAC
gastric hemorrhage,Moderate,NAC
bradyarrhythmia/AV block,Major,Nadolol
cardiogenic shock/hypotension,Major,Nadolol
CHF,Major,Nadolol
diabetes,Major,Nadolol
hemodialysis,Major,Nadolol
hypersensitivity,Major,Nadolol
ischemic heart disease,Major,Nadolol
PVD,Major,Nadolol
renal dysfunction,Major,Nadolol
asthma/COPD,Major,Nadolol
cerebrovascular insufficiency,Moderate,Nadolol
glaucoma,Moderate,Nadolol
hyperlipidemia,Moderate,Nadolol
hyperthyroidism,Moderate,Nadolol
myasthenia gravis,Moderate,Nadolol
pheochromocytoma,Moderate,Nadolol
psoriasis,Moderate,Nadolol
tachycardia,Moderate,Nadolol
Prinzmetal's variant angina,Moderate,Nadolol
CV disorders,Major,Naloxone
liver disease,Moderate,Naloxone
renal,Moderate,Naloxone
septic shock,Moderate,Naloxone
hepatic impairment,Moderate,Namenda
renal impairment,Moderate,Namenda
bradycardia,Major,Namzaric
bronchospasm,Major,Namzaric
coronary artery disease,Major,Namzaric
parkinsonism,Major,Namzaric
PUD,Major,Namzaric
seizures,Major,Namzaric
hyperthyroidism,Moderate,Namzaric
hepatic dysfunction,Moderate,Namzaric
hepatic impairment,Moderate,Namzaric
renal impairment,Moderate,Namzaric
CV disorders,Major,Narcan
liver disease,Moderate,Narcan
renal,Moderate,Narcan
septic shock,Moderate,Narcan
hyperadrenocorticism,Moderate,Nasonex
infections,Moderate,Nasonex
ocular herpes simplex,Moderate,Nasonex
ocular toxicities,Moderate,Nasonex
osteoporosis,Moderate,Nasonex
acute alcohol intoxication,Major,Nayzilam
closed-angle glaucoma,Major,Nayzilam
respiratory depression,Major,Nayzilam
seizures,Major,Nayzilam
prolonged hypotension,Major,Nayzilam
prematurity,Major,Nayzilam
CNS depression/electrolyte disturbances,Major,Nayzilam
congestive heart failure,Major,Nayzilam
renal/liver disease,Major,Nayzilam
depression,Moderate,Nayzilam
obesity,Moderate,Nayzilam
paradoxical reactions,Moderate,Nayzilam
bradyarrhythmia/AV block,Major,Nebivolol
cardiogenic shock/hypotension,Major,Nebivolol
CHF,Major,Nebivolol
diabetes,Major,Nebivolol
hypersensitivity,Major,Nebivolol
ischemic heart disease,Major,Nebivolol
PVD,Major,Nebivolol
hepatic impairment,Major,Nebivolol
cerebrovascular insufficiency,Moderate,Nebivolol
glaucoma,Moderate,Nebivolol
hyperlipidemia,Moderate,Nebivolol
hyperthyroidism,Moderate,Nebivolol
myasthenia gravis,Moderate,Nebivolol
pheochromocytoma,Moderate,Nebivolol
psoriasis,Moderate,Nebivolol
tachycardia,Moderate,Nebivolol
asthma/COPD,Moderate,Nebivolol
renal impairment,Moderate,Nebivolol
dehydration,Major,Neomycin
neuromuscular blockade,Major,Neomycin
ototoxicity,Major,Neomycin
renal dysfunction,Major,Neomycin
intestinal obstruction,Major,Neomycin
colitis,Major,Neomycin
GI inflammation,Major,Neomycin
liver dysfunction,Major,Nerlynx
glomerulonephritis,Major,Neulasta
myeloid tumors,Major,Neulasta
leukocytosis,Major,Neulasta
drug dependence,Major,Neurontin
renal dysfunction,Major,Neurontin
suicidal tendency,Moderate,Neurontin
hemodialysis,Moderate,Neurontin
C. diff,Major,Nexium
liver disease,Moderate,Nexium
bone fractures,Moderate,Nexium
hypomagnesemia,Moderate,Nexium
hepatic impairment,Moderate,Nexletol
hyperuricemia,Moderate,Nexletol
renal impairment,Moderate,Nexletol
tendon injuries,Moderate,Nexletol
liver disease,Major,Nexlizet
hepatic impairment,Moderate,Nexlizet
hyperuricemia,Moderate,Nexlizet
renal impairment,Moderate,Nexlizet
tendon injuries,Moderate,Nexlizet
myopathy/rhabdomyolysis,Moderate,Nexlizet
renal impairment,Moderate,Nexlizet
abnormal genital bleeding,Major,Nexplanon
hepatic neoplasms,Major,Nexplanon
breast malignancy,Major,Nexplanon
